run_id,exchange,symbol,timeframe,ema_fast,ema_slow,side,result,position_size,qty,pyramid_level,balance,cash_after_trade,entry_time,exit_time,entry_price,exit_price,stop_price,take_profit_price,commission_pct,slippage_pct,stop_loss_pct,take_profit_pct,gross_pnl,commission_paid,pnl_pct,net_return_pct,net_pnl,entry_trigger,exit_trigger,bars_in_trade,use_clean,position_mode
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1000.0,9.93225774099745,1,1017.310141,1017.3101410427404,2021-02-06 00:00:00+00:00,2021-02-24 00:00:00+00:00,100.6820429027222,102.62817348222451,98.72737510281459,,0.001,0.001,,,19.329470513253664,2.0193294705132536,1.933,1.731,17.310141042740412,BMSB long,BMSB crossunder,18,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1017.3101410427404,9.9833021951485,1,1050.437699,1050.4376994536647,2021-03-14 00:00:00+00:00,2021-04-05 00:00:00+00:00,101.9011666838167,105.4267913099232,101.73701889218937,,0.001,0.001,,,35.19737606907869,2.0698176581545593,3.46,3.256,33.12755841092413,BMSB long,BMSB crossunder,22,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1050.4376994536647,9.9705778156258,1,1072.542012,1072.542011938953,2021-04-21 00:00:00+00:00,2021-05-10 00:00:00+00:00,105.35374367245076,107.78383526288245,103.76093889671046,,0.001,0.001,,,24.229417301496994,2.125104816208826,2.307,2.104,22.10431248528817,BMSB long,BMSB crossunder,19,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1072.542011938953,10.115592673929834,1,1091.046152,1091.046151553024,2021-05-30 00:00:00+00:00,2021-06-18 00:00:00+00:00,106.02858838940163,108.0719578881312,104.05351897639068,,0.001,0.001,,,20.669893531480426,2.1657539174093863,1.927,1.725,18.50413961407104,BMSB long,BMSB crossunder,19,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1091.046151553024,10.114519255493875,1,1127.015488,1127.015487977146,2021-07-05 00:00:00+00:00,2021-07-26 00:00:00+00:00,107.86930391777183,111.64502645889313,107.40861665783278,,0.001,0.001,,,38.18961834557362,2.2202819214516216,3.5,3.297,35.969336424122,BMSB long,BMSB crossunder,21,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1127.015487977146,10.131703474306391,1,1143.658346,1143.6583457270451,2021-08-13 00:00:00+00:00,2021-08-31 00:00:00+00:00,111.23652511497338,113.10351664096439,108.8196867318748,,0.001,0.001,,,18.91580453038372,2.2729467804846757,1.678,1.477,16.642857749899044,BMSB long,BMSB crossunder,18,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1143.6583457270451,10.258969220188014,1,1166.91176,1166.9117600385068,2021-09-20 00:00:00+00:00,2021-10-09 00:00:00+00:00,111.47887484412256,113.97096705645767,109.50331457045328,,0.001,0.001,,,25.566297300216135,2.312882988754306,2.235,2.033,23.253414311461828,BMSB long,BMSB crossunder,19,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1166.9117600385068,10.249319099870252,1,1201.146735,1201.1467353019846,2021-10-26 00:00:00+00:00,2021-11-16 00:00:00+00:00,113.85261290706413,117.42410910413403,112.998481013637,,0.001,0.001,,,36.60540418774255,2.3704289242647563,3.137,2.934,34.23497526347779,BMSB long,BMSB crossunder,21,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1201.1467353019846,10.301734585900164,1,1217.671855,1217.6718548388399,2021-12-04 00:00:00+00:00,2021-12-22 00:00:00+00:00,116.59655228799788,118.43569493032122,113.84645336219498,,0.001,0.001,,,18.946359366826147,2.421239829970795,1.577,1.376,16.525119536855353,BMSB long,BMSB crossunder,18,True,all_in
pdfgen,binance,BTC/USDT,1d,20,21,LONG,WIN,1217.6718548388399,10.402584942513096,1,1242.295125,1242.2951252609198,2022-01-11 00:00:00+00:00,2022-01-31 00:00:00+00:00,117.05473798752467,119.65848503513547,115.08324376864512,,0.001,0.001,,,27.08569983158899,2.4624294095092685,2.224,2.022,24.62327042207972,BMSB long,BMSB crossunder,20,True,all_in
